date,holafly,isPartial,Country
2021-03-07,0,False,ES
2021-03-14,0,False,ES
2021-03-21,0,False,ES
2021-03-28,0,False,ES
2021-04-04,0,False,ES
2021-04-11,0,False,ES
2021-04-18,0,False,ES
2021-04-25,0,False,ES
2021-05-02,6,False,ES
2021-05-09,0,False,ES
2021-05-16,0,False,ES
2021-05-23,0,False,ES
2021-05-30,6,False,ES
2021-06-06,0,False,ES
2021-06-13,0,False,ES
2021-06-20,0,False,ES
2021-06-27,6,False,ES
2021-07-04,6,False,ES
2021-07-11,8,False,ES
2021-07-18,0,False,ES
2021-07-25,11,False,ES
2021-08-01,0,False,ES
2021-08-08,10,False,ES
2021-08-15,0,False,ES
2021-08-22,0,False,ES
2021-08-29,0,False,ES
2021-09-05,6,False,ES
2021-09-12,0,False,ES
2021-09-19,0,False,ES
2021-09-26,0,False,ES
2021-10-03,0,False,ES
2021-10-10,0,False,ES
2021-10-17,0,False,ES
2021-10-24,6,False,ES
2021-10-31,7,False,ES
2021-11-07,7,False,ES
2021-11-14,7,False,ES
2021-11-21,6,False,ES
2021-11-28,10,False,ES
2021-12-05,0,False,ES
2021-12-12,0,False,ES
2021-12-19,0,False,ES
2021-12-26,0,False,ES
2022-01-02,0,False,ES
2022-01-09,11,False,ES
2022-01-16,12,False,ES
2022-01-23,9,False,ES
2022-01-30,17,False,ES
2022-02-06,12,False,ES
2022-02-13,13,False,ES
2022-02-20,11,False,ES
2022-02-27,16,False,ES
2022-03-06,16,False,ES
2022-03-13,14,False,ES
2022-03-20,14,False,ES
2022-03-27,20,False,ES
2022-04-03,18,False,ES
2022-04-10,8,False,ES
2022-04-17,11,False,ES
2022-04-24,17,False,ES
2022-05-01,17,False,ES
2022-05-08,16,False,ES
2022-05-15,12,False,ES
2022-05-22,17,False,ES
2022-05-29,18,False,ES
2022-06-05,23,False,ES
2022-06-12,28,False,ES
2022-06-19,21,False,ES
2022-06-26,38,False,ES
2022-07-03,35,False,ES
2022-07-10,31,False,ES
2022-07-17,36,False,ES
2022-07-24,41,False,ES
2022-07-31,54,False,ES
2022-08-07,41,False,ES
2022-08-14,34,False,ES
2022-08-21,32,False,ES
2022-08-28,38,False,ES
2022-09-04,27,False,ES
2022-09-11,34,False,ES
2022-09-18,33,False,ES
2022-09-25,29,False,ES
2022-10-02,33,False,ES
2022-10-09,35,False,ES
2022-10-16,26,False,ES
2022-10-23,23,False,ES
2022-10-30,21,False,ES
2022-11-06,29,False,ES
2022-11-13,27,False,ES
2022-11-20,27,False,ES
2022-11-27,29,False,ES
2022-12-04,23,False,ES
2022-12-11,22,False,ES
2022-12-18,20,False,ES
2022-12-25,25,False,ES
2023-01-01,23,False,ES
2023-01-08,31,False,ES
2023-01-15,31,False,ES
2023-01-22,31,False,ES
2023-01-29,22,False,ES
2023-02-05,29,False,ES
2023-02-12,26,False,ES
2023-02-19,30,False,ES
2023-02-26,30,False,ES
2023-03-05,26,False,ES
2023-03-12,27,False,ES
2023-03-19,54,False,ES
2023-03-26,43,False,ES
2023-04-02,49,False,ES
2023-04-09,35,False,ES
2023-04-16,35,False,ES
2023-04-23,41,False,ES
2023-04-30,32,False,ES
2023-05-07,35,False,ES
2023-05-14,32,False,ES
2023-05-21,36,False,ES
2023-05-28,42,False,ES
2023-06-04,42,False,ES
2023-06-11,47,False,ES
2023-06-18,53,False,ES
2023-06-25,66,False,ES
2023-07-02,72,False,ES
2023-07-09,64,False,ES
2023-07-16,73,False,ES
2023-07-23,81,False,ES
2023-07-30,100,False,ES
2023-08-06,90,False,ES
2023-08-13,82,False,ES
2023-08-20,81,False,ES
2023-08-27,64,False,ES
2023-09-03,71,False,ES
2023-09-10,57,False,ES
2023-09-17,47,False,ES
2023-09-24,70,False,ES
2023-10-01,78,False,ES
2023-10-08,67,False,ES
2023-10-15,53,False,ES
2023-10-22,51,False,ES
2023-10-29,52,False,ES
2023-11-05,56,False,ES
2023-11-12,49,False,ES
2023-11-19,62,False,ES
2023-11-26,65,False,ES
2023-12-03,58,False,ES
2023-12-10,45,False,ES
2023-12-17,55,False,ES
2023-12-24,65,False,ES
2023-12-31,53,False,ES
2024-01-07,59,False,ES
2024-01-14,55,False,ES
2024-01-21,54,False,ES
2024-01-28,66,False,ES
2024-02-04,66,False,ES
2024-02-11,74,False,ES
2024-02-18,79,False,ES
2024-02-25,81,True,ES
