date,holafly,isPartial,Country
2021-03-07,0,False,MX
2021-03-14,0,False,MX
2021-03-21,0,False,MX
2021-03-28,0,False,MX
2021-04-04,0,False,MX
2021-04-11,0,False,MX
2021-04-18,0,False,MX
2021-04-25,0,False,MX
2021-05-02,0,False,MX
2021-05-09,0,False,MX
2021-05-16,0,False,MX
2021-05-23,0,False,MX
2021-05-30,0,False,MX
2021-06-06,0,False,MX
2021-06-13,0,False,MX
2021-06-20,0,False,MX
2021-06-27,0,False,MX
2021-07-04,0,False,MX
2021-07-11,0,False,MX
2021-07-18,0,False,MX
2021-07-25,0,False,MX
2021-08-01,0,False,MX
2021-08-08,0,False,MX
2021-08-15,0,False,MX
2021-08-22,0,False,MX
2021-08-29,0,False,MX
2021-09-05,0,False,MX
2021-09-12,0,False,MX
2021-09-19,0,False,MX
2021-09-26,0,False,MX
2021-10-03,0,False,MX
2021-10-10,0,False,MX
2021-10-17,0,False,MX
2021-10-24,0,False,MX
2021-10-31,0,False,MX
2021-11-07,0,False,MX
2021-11-14,0,False,MX
2021-11-21,0,False,MX
2021-11-28,0,False,MX
2021-12-05,0,False,MX
2021-12-12,0,False,MX
2021-12-19,0,False,MX
2021-12-26,0,False,MX
2022-01-02,0,False,MX
2022-01-09,0,False,MX
2022-01-16,0,False,MX
2022-01-23,0,False,MX
2022-01-30,0,False,MX
2022-02-06,0,False,MX
2022-02-13,0,False,MX
2022-02-20,0,False,MX
2022-02-27,0,False,MX
2022-03-06,0,False,MX
2022-03-13,0,False,MX
2022-03-20,0,False,MX
2022-03-27,0,False,MX
2022-04-03,0,False,MX
2022-04-10,0,False,MX
2022-04-17,0,False,MX
2022-04-24,11,False,MX
2022-05-01,0,False,MX
2022-05-08,0,False,MX
2022-05-15,0,False,MX
2022-05-22,0,False,MX
2022-05-29,0,False,MX
2022-06-05,0,False,MX
2022-06-12,10,False,MX
2022-06-19,0,False,MX
2022-06-26,10,False,MX
2022-07-03,0,False,MX
2022-07-10,0,False,MX
2022-07-17,0,False,MX
2022-07-24,12,False,MX
2022-07-31,0,False,MX
2022-08-07,0,False,MX
2022-08-14,0,False,MX
2022-08-21,0,False,MX
2022-08-28,16,False,MX
2022-09-04,0,False,MX
2022-09-11,19,False,MX
2022-09-18,12,False,MX
2022-09-25,0,False,MX
2022-10-02,18,False,MX
2022-10-09,0,False,MX
2022-10-16,13,False,MX
2022-10-23,19,False,MX
2022-10-30,28,False,MX
2022-11-06,0,False,MX
2022-11-13,0,False,MX
2022-11-20,0,False,MX
2022-11-27,0,False,MX
2022-12-04,21,False,MX
2022-12-11,0,False,MX
2022-12-18,17,False,MX
2022-12-25,25,False,MX
2023-01-01,0,False,MX
2023-01-08,0,False,MX
2023-01-15,19,False,MX
2023-01-22,0,False,MX
2023-01-29,0,False,MX
2023-02-05,31,False,MX
2023-02-12,0,False,MX
2023-02-19,24,False,MX
2023-02-26,0,False,MX
2023-03-05,0,False,MX
2023-03-12,23,False,MX
2023-03-19,0,False,MX
2023-03-26,33,False,MX
2023-04-02,15,False,MX
2023-04-09,0,False,MX
2023-04-16,0,False,MX
2023-04-23,33,False,MX
2023-04-30,0,False,MX
2023-05-07,0,False,MX
2023-05-14,0,False,MX
2023-05-21,23,False,MX
2023-05-28,37,False,MX
2023-06-04,0,False,MX
2023-06-11,0,False,MX
2023-06-18,0,False,MX
2023-06-25,60,False,MX
2023-07-02,0,False,MX
2023-07-09,84,False,MX
2023-07-16,80,False,MX
2023-07-23,0,False,MX
2023-07-30,0,False,MX
2023-08-06,77,False,MX
2023-08-13,61,False,MX
2023-08-20,0,False,MX
2023-08-27,0,False,MX
2023-09-03,96,False,MX
2023-09-10,92,False,MX
2023-09-17,0,False,MX
2023-09-24,90,False,MX
2023-10-01,0,False,MX
2023-10-08,67,False,MX
2023-10-15,71,False,MX
2023-10-22,69,False,MX
2023-10-29,72,False,MX
2023-11-05,62,False,MX
2023-11-12,63,False,MX
2023-11-19,61,False,MX
2023-11-26,0,False,MX
2023-12-03,63,False,MX
2023-12-10,0,False,MX
2023-12-17,86,False,MX
2023-12-24,88,False,MX
2023-12-31,74,False,MX
2024-01-07,96,False,MX
2024-01-14,73,False,MX
2024-01-21,73,False,MX
2024-01-28,0,False,MX
2024-02-04,80,False,MX
2024-02-11,0,False,MX
2024-02-18,100,False,MX
2024-02-25,94,True,MX
